businessname,contractorlicensenumber,contractorlicensetypecode,contractorlicensetypecodedesc,address1,address2,city,state,zip,phonenumber,licenseeffectivedate,licenseexpirationdate,businesstypecode,businesstypecodedesc,specialtycode1,specialtycode1desc,specialtycode2,specialtycode2desc,ubi,primaryprincipalname,statuscode,contractorlicensestatus,contractorlicensesuspenddate
10/Zero5 General Contr LLC,10ZERGC793J2,CC,CONSTRUCTION CONTRACTOR,5609 W. Richardson Rd.,,PASCO,WA,99301,5095392907,2021-04-22T00:00:00.000,2027-07-29T00:00:00.000,L,Limited Liability Company,01,GENERAL,,,604193408,"Diaz, Francisco Javier",S,SUSPENDED,2026-08-10T00:00:00.000
123 Electric Service Inc,123ELES892CP,EC,ELECTRICAL CONTRACTOR,14725 NE 20TH ST D-12,,Bellevue,WA,98007,4254552027,2011-02-17T00:00:00.000,2027-02-17T00:00:00.000,C,Corporation,01,GENERAL,,,602762749,"Leber, Brett",A,ACTIVE,
1-2-3 PLUMBING LLC,123PLPL767OF,PC,PLUMBING CONTRACTOR,8115 18TH AVE CT E,,TACOMA,WA,98404,2538824845,2024-09-06T00:00:00.000,2026-09-06T00:00:00.000,L,Limited Liability Company,01,JOURNEY LEVEL,,,605597570,"SANCHEZ BAZAIL, RICARDO",A,ACTIVE,
12 GENERAL HANDYMAN,12GENGH844L4,CC,CONSTRUCTION CONTRACTOR,7816 OAKRIDGE DR SW,,LAKEWOOD,WA,98498,2533919545,2016-06-24T00:00:00.000,2020-09-26T00:00:00.000,I,Individual,01,GENERAL,,,603592674,"Yu, Kevin Chun",R,RE-LICENSED,2019-03-09T00:00:00.000
12TH MAN ROOFING LLC,12THMMR846QC,CC,CONSTRUCTION CONTRACTOR,22616 2nd Pl West,,BOTHELL,WA,98021,4252198488,2016-11-03T00:00:00.000,2020-11-03T00:00:00.000,L,Limited Liability Company,CD,ROOFING,,,603558053,"Miller, Norma Luz",R,RE-LICENSED,2019-10-27T00:00:00.000
13THIRTYSEVEN ELECTRIC LLC,13THIEL760KL,EC,ELECTRICAL CONTRACTOR,7711 EASY ST,,EVERETT,WA,98203,4258307342,2024-05-13T00:00:00.000,2028-05-13T00:00:00.000,L,Limited Liability Company,01,GENERAL,,,605267913,"Weber, Andrew D",A,ACTIVE,
16D LLC,16DLLL*882JT,EC,ELECTRICAL CONTRACTOR,PO BOX 804,,VASHON,WA,98070,2063540876,2012-04-30T00:00:00.000,2028-05-15T00:00:00.000,L,Limited Liability Company,01,GENERAL,,,603092523,"DAVIS, DUKE",A,ACTIVE,
1-800-PLUMBER + AIR,1800PA*771MU,PC,PLUMBING CONTRACTOR,14630 NE 95th ST,,REDMOND,WA,98052,4252986969,2023-08-01T00:00:00.000,2027-08-01T00:00:00.000,L,Limited Liability Company,01,JOURNEY LEVEL,,,605248662,"SUPRAMANIAN, RAMANATHAN",A,ACTIVE,
A-1 DRILLING & DIGGING INC,1DRILDD786TQ,EC,ELECTRICAL CONTRACTOR,PO BOX 1207,,STANWOOD,WA,982921207,3606528333,2022-03-11T00:00:00.000,2024-03-11T00:00:00.000,C,Corporation,3A,Domestic Pump,91,,601592297,"RUTLEDGE, DAVID L",E,EXPIRED,
A-1 ELECTRIC,1ELECE*774JE,EC,ELECTRICAL CONTRACTOR,1401 E NELSON RD APT D-312,,MOSES LAKE,WA,98837,5413718878,2023-04-10T00:00:00.000,2025-04-10T00:00:00.000,L,Limited Liability Company,01,GENERAL,,,605132188,"GARCIA, ABRAHAM D-I",E,EXPIRED,2023-08-28T00:00:00.000
ACCUMAR INDUSTRIES LLC,ACCUMIL785DC,LC,ELEVATOR CONTRACTOR,1180 NW FINN HILL ROAD,,POULSBO,WA,98370,3607797795,2022-02-24T00:00:00.000,2028-02-24T00:00:00.000,L,Limited Liability Company,AL,ALL AREAS,,,604810658,,A,ACTIVE,
