line,comu,muniname,munitype,county,recordid,permitno,status,permitdate,certdate,processdate,permittypedesc,constcost,salegained,rentgained,usegroup,block,lot,pk,update,classification,additive_to_municipal_total,public_treatment,aggregate_summary
2678326,9999,STATE BUILDINGS,STATEWIDE,STATE,89000701,9106280201,C,06/28/1991,11/22/1991,04/07/1992,Demolition,708685,0,0,S-1,F0683,"1,2,3",999989000701,,STATE_AGENCY_OR_STATEWIDE_RECORD,False,Preserve separately as STATE_LEVEL. Do not add to municipality-derived statewide total until independently confirmed additive.,False
2678327,9999,STATE BUILDINGS,STATEWIDE,STATE,89000732,9107090232,C,07/09/1991,11/26/1991,04/07/1992,Demolition,150000,0,0,U,"F0683,723","1,2,3",999989000732,,STATE_AGENCY_OR_STATEWIDE_RECORD,False,Preserve separately as STATE_LEVEL. Do not add to municipality-derived statewide total until independently confirmed additive.,False
2678328,9999,STATE BUILDINGS,STATEWIDE,STATE,89000733,9107090233,P,07/09/1991,,08/13/1991,Demolition,200000,0,0,U,F0683,"1,2,3",999989000733,,STATE_AGENCY_OR_STATEWIDE_RECORD,False,Preserve separately as STATE_LEVEL. Do not add to municipality-derived statewide total until independently confirmed additive.,False
2678329,9999,STATE BUILDINGS,STATEWIDE,STATE,89000736,9107120236,C,07/12/1991,09/30/1991,04/07/1992,Demolition,4000,0,0,U,1,1,999989000736,,STATE_AGENCY_OR_STATEWIDE_RECORD,False,Preserve separately as STATE_LEVEL. Do not add to municipality-derived statewide total until independently confirmed additive.,False
2678330,9999,STATE BUILDINGS,STATEWIDE,STATE,89000741,9107160241,P,07/16/1991,,08/13/1991,Demolition,4470,-5,0,R-3,858,3,999989000741,,STATE_AGENCY_OR_STATEWIDE_RECORD,False,Preserve separately as STATE_LEVEL. Do not add to municipality-derived statewide total until independently confirmed additive.,False
2678331,9999,STATE BUILDINGS,STATEWIDE,STATE,89000742,9107160242,P,07/16/1991,,08/13/1991,Demolition,4474,-5,0,R-3,858,3,999989000742,,STATE_AGENCY_OR_STATEWIDE_RECORD,False,Preserve separately as STATE_LEVEL. Do not add to municipality-derived statewide total until independently confirmed additive.,False
2678332,9999,STATE BUILDINGS,STATEWIDE,STATE,89000743,9107160243,P,07/16/1991,,08/13/1991,Demolition,7520,0,0,B,233.01,1,999989000743,,STATE_AGENCY_OR_STATEWIDE_RECORD,False,Preserve separately as STATE_LEVEL. Do not add to municipality-derived statewide total until independently confirmed additive.,False
2678333,9999,STATE BUILDINGS,STATEWIDE,STATE,89000744,9107160244,P,07/16/1991,,08/13/1991,Demolition,7520,-5,0,R-3,155,1.01-40,999989000744,,STATE_AGENCY_OR_STATEWIDE_RECORD,False,Preserve separately as STATE_LEVEL. Do not add to municipality-derived statewide total until independently confirmed additive.,False
2678334,9999,STATE BUILDINGS,STATEWIDE,STATE,89000745,9107160245,P,07/16/1991,,08/13/1991,Demolition,7520,0,0,A-3,700,5,999989000745,,STATE_AGENCY_OR_STATEWIDE_RECORD,False,Preserve separately as STATE_LEVEL. Do not add to municipality-derived statewide total until independently confirmed additive.,False
2678335,9999,STATE BUILDINGS,STATEWIDE,STATE,89000746,9107160246,P,07/16/1991,,08/13/1991,Demolition,7520,0,0,B,700,4,999989000746,,STATE_AGENCY_OR_STATEWIDE_RECORD,False,Preserve separately as STATE_LEVEL. Do not add to municipality-derived statewide total until independently confirmed additive.,False
2678336,9999,STATE BUILDINGS,STATEWIDE,STATE,89000747,9107160247,P,07/16/1991,,08/13/1991,Demolition,6032,0,0,B,93,28,999989000747,,STATE_AGENCY_OR_STATEWIDE_RECORD,False,Preserve separately as STATE_LEVEL. Do not add to municipality-derived statewide total until independently confirmed additive.,False
2678337,9999,STATE BUILDINGS,STATEWIDE,STATE,89000855,9109270353,P,09/27/1991,,04/07/1992,Demolition,18000,0,0,U,1,1,999989000855,,STATE_AGENCY_OR_STATEWIDE_RECORD,False,Preserve separately as STATE_LEVEL. Do not add to municipality-derived statewide total until independently confirmed additive.,False
2678338,9999,STATE BUILDINGS,STATEWIDE,STATE,89000872,9110100364,P,10/10/1991,,04/07/1992,Alteration,100000,0,0,S-1,1,1,999989000872,,STATE_AGENCY_OR_STATEWIDE_RECORD,False,Preserve separately as STATE_LEVEL. Do not add to municipality-derived statewide total until independently confirmed additive.,False
2678339,9999,STATE BUILDINGS,STATEWIDE,STATE,89000874,9110110336,P,10/11/1991,,04/07/1992,Demolition,10000,0,0,S-2,1,1,999989000874,,STATE_AGENCY_OR_STATEWIDE_RECORD,False,Preserve separately as STATE_LEVEL. Do not add to municipality-derived statewide total until independently confirmed additive.,False
2678340,9999,STATE BUILDINGS,STATEWIDE,STATE,89000908,9111060400,P,11/06/1991,,04/07/1992,Demolition,10000,0,0,U,1004,1,999989000908,,STATE_AGENCY_OR_STATEWIDE_RECORD,False,Preserve separately as STATE_LEVEL. Do not add to municipality-derived statewide total until independently confirmed additive.,False
2678341,9999,STATE BUILDINGS,STATEWIDE,STATE,89000966,9201290015,P,01/29/1992,,04/07/1992,Alteration,4000,0,0,U,67,1,999989000966,,STATE_AGENCY_OR_STATEWIDE_RECORD,False,Preserve separately as STATE_LEVEL. Do not add to municipality-derived statewide total until independently confirmed additive.,False
2678342,9999,STATE BUILDINGS,STATEWIDE,STATE,89000967,9201290016,P,01/29/1992,,04/07/1992,Alteration,8000,0,0,U,59,93,999989000967,,STATE_AGENCY_OR_STATEWIDE_RECORD,False,Preserve separately as STATE_LEVEL. Do not add to municipality-derived statewide total until independently confirmed additive.,False
