Name,Attention,Address 1,Address 2,City,State,Zip Code,Phone,Credential,Licensee Type,First Issued Date,Expiration Date,License Status,Status Reason,Supervisor License,Supervisor Name,Supervision Type,Supervisor License Status,Supervisor Expiration,
SILCO FIRE & SECURITY,BRANDY MAYNARD,13015 YORK DELTA DR,,CLEVELAND,OH,44133-3520,(216) 252-3851,50.18.1450,Fire Protection Organization - Branch Office,05/30/2014,07/01/2027,Active,ACTIVE,,,,,,
KOORSEN FIRE AND SECURITY INC,,5295 COMMERCE PKWY W,,CLEVELAND,OH,44130-1272,(317) 225-5763,50.18.1452,Fire Protection Organization - Branch Office,01/20/2016,07/01/2027,Active,ACTIVE,53.89.1036,KOORSEN FIRE & SECURITY,Branch Company to Company,ACTIVE,07/01/2027,
ESI INC,,6161 COCHRAN RD,,SOLON,OH,44139-3300,(440) 349-2600,50.18.1455,Fire Protection Organization - Branch Office,03/13/2020,07/01/2027,Active,ACTIVE,53.31.1039,ESI INC,Branch Company to Company,ACTIVE,07/01/2027,
SIEMENS INDUSTRY INC,,5350 TRANSPORTATION BLVD STE 9,,CLEVELAND,OH,44125-5307,(216) 816-4213,50.18.1456,Fire Protection Organization - Branch Office,05/11/2020,07/01/2027,Active,ACTIVE,53.13.1062,SIEMENS INDUSTRY INC,Branch Company to Company,ACTIVE,07/01/2027,
GUARDIAN PROTECTION SERVICES INC,,7710 FIRST PLACE BLDG E STE H,,BEDFORD,OH,44146,(724) 741-3500,50.18.1457,Fire Protection Organization - Branch Office,05/20/2020,07/01/2027,Active,ACTIVE,53.89.1300,GUARDIAN PROTECTION SERVICES INC,Branch Company to Company,ACTIVE,07/01/2027,
IMEG CORP,,672 E ROYALTON RD,,BROADVIEW HEIGHTS,OH,44147-2529,(440) 546-9696,50.18.1460,Fire Protection Organization - Branch Office,07/19/2021,07/01/2027,Active,ACTIVE,53.89.1958,IMEG CORP,Branch Company to Company,ACTIVE,07/01/2027,
GARDINER FIRE & SECURITY LLC DBA CONTINENTAL FIRE & SECURITY,,31200 BAINBRIDGE RD,,SOLON,OH,44139-2297,(216) 749-5522,50.18.1461,Fire Protection Organization - Branch Office,04/20/2022,07/01/2027,Active,ACTIVE,53.18.5094,GARDINER FIRE & SECURITY LLC,Branch Company to Company,ACTIVE,07/01/2027,
CINTAS CORPORATION #2,,10250 ROYALTON RD,,NORTH ROYALTON,OH,44133-4429,(440) 237-6677,50.18.1462,Fire Protection Organization - Branch Office,11/29/2023,07/01/2027,Active,ACTIVE,53.31.1094,CINTAS CORPORATION #2,Branch Company to Company,ACTIVE,07/01/2027,
GA BUSINESS PURCHASER LLC DBA GUARDIAN ALARM,C T CORPORATION,140 GRAND ST STE 300,,WHITE PLAINS,NY,10601-4840,,50.18.1463,Fire Protection Organization - Branch Office,09/20/2024,07/01/2027,Active,ACTIVE,53.48.1002,GUARDIAN ALARM COMPANY,Branch Company to Company,ACTIVE,07/01/2027,
THOMPSON SAFETY LLC,,26820 FARGO AVE STE P,,BEDFORD,OH,44146-1342,(877) 506-4291,50.18.1464,Fire Protection Organization - Branch Office,10/02/2024,07/01/2027,Active,ACTIVE,53.89.2056,THOMPSON SAFETY LLC,Branch Company to Company,ACTIVE,07/01/2027,
JOHNSON CONTROLS BUILDING SOLUTIONS LLC,LICENSING DEPT,PO Box 3042,,Boca Raton,FL,33431-0942,(561) 341-7357,50.18.1465,Fire Protection Organization - Branch Office,05/28/2026,07/01/2027,Active,ACTIVE,53.48.1231,JOHNSON CONTROLS BUILDING SOLUTIIONS LLC,Branch Company to Company,ACTIVE,07/01/2027,
PLACE SERVICES INC,,8772 COTTER ST,,LEWIS CENTER,OH,43035-7104,(678) 888-4777,50.21.0001,Fire Protection Organization - Branch Office,03/25/2025,07/01/2027,Active,ACTIVE,53.89.2069,PLACE SERVICES INCORPORATED,Branch Company to Company,ACTIVE,07/01/2027,
SUMMIT FIRE & SECURITY LLC,,1250 NORTHLAND DR STE 200,,MENDOTA HEIGHTS,MN,55120-1174,,50.22.0001,Fire Protection Organization - Branch Office,07/28/1997,07/01/2027,Active,ACTIVE,53.18.5101,SUMMIT FIRE & SECURITY LLC,Branch Company to Company,ACTIVE,07/01/2027,
DALMATIAN FIRE A DIVISION OF SHAMBAUGH & SON LP,,7719 GRAPHICS WAY STE F,,LEWIS CENTER,OH,43035-9667,(740)549-4509,50.25.0003,Fire Protection Organization - Branch Office,09/18/1997,07/01/2027,Active,ACTIVE,53.83.1006,DALMATIAN FIRE A DIVISION OF SHAMBAUGH & SON LP,Branch Company to Company,ACTIVE,07/01/2027,
KOORSEN FIRE & SECURITY INC,,727 MANOR PARK DR,,COLUMBUS,OH,43228-9522,(614) 853-5678,50.25.0004,Fire Protection Organization - Branch Office,07/11/1997,07/01/2027,Active,ACTIVE,53.89.1036,KOORSEN FIRE & SECURITY,Branch Company to Company,ACTIVE,07/01/2027,
VECTOR SECURITY,,779 BROOKSEDGE BLVD,,WESTERVILLE,OH,43081-2821,(614)367-7820,50.25.0005,Fire Protection Organization - Branch Office,08/21/1998,07/01/2027,Active,ACTIVE,53.50.1081,VECTOR SECURITY INC DBA VECTOR SECURITY NETWORKS,Branch Company to Company,ACTIVE,07/01/2027,
HONEYWELL BUILDING SOLUTION,,2080 ARLINGATE LN,,COLUMBUS,OH,43228-4112,(740) 572-3037,50.25.0016,Fire Protection Organization - Branch Office,05/23/2007,07/01/2027,Active,ACTIVE,53.18.1622,HONEYWELL INTERNATIONAL INC,Branch Company to Company,ACTIVE,07/01/2027,
SUMMIT FIRE & SECURITY LLC,,1250 NORTHLAND DR STE 200,,MENDOTA HEIGHTS,MN,55120-1174,,50.25.0017,Fire Protection Organization - Branch Office,06/04/2007,07/01/2027,Active,ACTIVE,53.18.5101,SUMMIT FIRE & SECURITY LLC,Branch Company to Company,ACTIVE,07/01/2027,
CERTASITE,,4581 POTH RD,,WHITEHALL,OH,43213-1327,(330)633-1014,50.25.0021,Fire Protection Organization - Branch Office,08/23/2011,07/01/2027,Active,ACTIVE,53.77.2009,CERTASITE,Branch Company to Company,ACTIVE,07/01/2027,
ADT LLC - COLUMBUS BRANCH,LICENSING DEPT,PO BOX 310702,,BOCA RATON,FL,33431-0702,(561) 988-3681,50.25.0023,Fire Protection Organization - Branch Office,03/15/2012,07/01/2027,Active,ACTIVE,53.89.1726,ADT LLC DBA PROTECTION ONE,Branch Company to Company,ACTIVE,07/01/2027,
JOHNSON CONTROLS SECURITY SOLUTIONS LLC,,6175 SHAMROCK CT STE S,,DUBLIN,OH,43016-1224,(561) 226-8222,50.25.1050,Fire Protection Organization - Branch Office,06/24/1991,07/01/2027,Active,ACTIVE,53.31.1582,JOHNSON CONTROLS SECURITY SOLUTIONS LLC,Branch Company to Company,ACTIVE,07/01/2027,
SILCO FIRE & SECURITY,,2395 SOUTHWEST BLVD,,GROVE CITY,OH,43123-2163,(614)449-2101,50.25.1331,Fire Protection Organization - Branch Office,07/13/1992,07/01/2027,Active,ACTIVE,53.31.1003,SILCO FIRE & SECURITY,Branch Company to Company,ACTIVE,07/01/2027,
SA COMUNALE CO INC,,3709 PARKWAY LN,,HILLIARD,OH,43026-1216,(614)291-7001,50.25.1428,Fire Protection Organization - Branch Office,06/21/1996,07/01/2027,Active,ACTIVE,53.77.1016,SA COMUNALE,Branch Company to Company,ACTIVE,07/01/2027,
INTEGRATED PROTECTION SERVICES INC,,6110 ENTERPRISE PKWY,,GROVE CITY,OH,43123-9286,(614) 871-1011,50.25.1435,Fire Protection Organization - Branch Office,03/24/2017,07/01/2027,Active,ACTIVE,53.31.1571,INTEGRATED PROTECTION SERVICES INC,Branch Company to Company,ACTIVE,07/01/2027,
DENIER ELECTRIC CO INC,,4000 GANTZ RD STE C,,GROVE CITY,OH,43123-4844,(614)338-4664,50.25.1437,Fire Protection Organization - Branch Office,07/05/2018,07/01/2027,Active,ACTIVE,53.31.1033,DENIER ELECTRIC CO INC,Branch Company to Company,ACTIVE,07/01/2027,
GUARDIAN PROTECTION SERVICES INC,,4423 PROFESSIONAL PKWY,,GROVEPORT,OH,43125-9228,(513) 759-1850,50.25.1438,Fire Protection Organization - Branch Office,04/15/2019,07/01/2027,Active,ACTIVE,53.89.1300,GUARDIAN PROTECTION SERVICES INC,Branch Company to Company,ACTIVE,07/01/2027,
SIEMENS INDUSTRY INC,,530 LAKEVIEW PLAZA BLVD STE D,,WORTHINGTON,OH,43085-4710,(614) 846-8540,50.25.1440,Fire Protection Organization - Branch Office,07/03/2019,07/01/2027,Active,ACTIVE,53.13.1062,SIEMENS INDUSTRY INC,Branch Company to Company,ACTIVE,07/01/2027,
EVERON LLC,COMMERCIAL LICENSING DEPT,1501 W YAMATO RD,,BOCA RATON,FL,33431-4438,,50.25.1441,Fire Protection Organization - Branch Office,01/09/2020,07/01/2027,Active,ACTIVE,53.89.1925,EVERON LLC,Branch Company to Company,ACTIVE,07/01/2027,
ESI INC,,3656 PARAGON DR,,COLUMBUS,OH,43228-9750,(614) 782-2472,50.25.1442,Fire Protection Organization - Branch Office,03/13/2020,07/01/2027,Active,ACTIVE,53.31.1039,ESI INC,Branch Company to Company,ACTIVE,07/01/2027,
ALMUR CONSTRUCTION INC DBA CITYWIDE SOLUTIONS,,PO BOX 310,,DUBLIN,OH,43017-0310,(614) 203-4306,50.25.1444,Fire Protection Organization - Branch Office,03/14/2022,07/01/2027,Active,ACTIVE,53.25.3983,ALMUR CONSTRUCTION INC,Branch Company to Company,ACTIVE,07/01/2027,
ALMUR CONSTRUCTION INC DBA STERLING PROTECTIVE SERVICES,,PO BOX 310,,DUBLIN,OH,43017-0310,(614) 203-4306,50.25.1445,Fire Protection Organization - Branch Office,03/14/2022,07/01/2027,Active,ACTIVE,53.25.3983,ALMUR CONSTRUCTION INC,Branch Company to Company,ACTIVE,07/01/2027,
SARGENT ELECTRIC COMPANY,,980 CLAYCRAFT RD STE A,,GAHANNA,OH,43230-6694,(380) 400-3200,50.25.1447,Fire Protection Organization - Branch Office,07/22/2024,07/01/2027,Active,ACTIVE,53.89.1417,SARGENT ELECTRIC COMPANY,Branch Company to Company,ACTIVE,07/01/2027,
GA BUSINESS PURCHASER LLC DBA GUARDIAN ALARM,C T CORPORATION,140 GRAND ST STE 300,,WHITE PLAINS,NY,10601-4840,,50.25.1448,Fire Protection Organization - Branch Office,09/20/2024,07/01/2027,Active,ACTIVE,53.48.1002,GUARDIAN ALARM COMPANY,Branch Company to Company,ACTIVE,07/01/2027,
FIRE PROTECTION PROS LLC DBA ELITE FIRE SERVICES,,3025 SWITZER AVE,,COLUMBUS,OH,43219-2369,(301) 591-4210,50.25.1449,Fire Protection Organization - Branch Office,01/05/2026,07/01/2027,Active,ACTIVE,53.89.1887,FIRE PROTECTION PROS LLC,Branch Company to Company,ACTIVE,07/01/2027,
MACQUEEN EQUIPMENT LLC,,1130 MORRISON RD,,COLUMBUS,OH,43230-6646,(614) 557-2396,50.25.1450,Fire Protection Organization - Branch Office,03/25/2026,07/01/2027,Active,ACTIVE,53.89.2115,MACQUEEN EQUIPMENT LLC,Branch Company to Company,ACTIVE,07/01/2027,
JOHNSON CONTROLS BUILDING SOLUTIONS LLC,LICENSING DEPT,PO Box 3042,,Boca Raton,FL,33431-0942,(561) 341-7357,50.25.1451,Fire Protection Organization - Branch Office,05/28/2026,07/01/2027,Active,ACTIVE,53.48.1231,JOHNSON CONTROLS BUILDING SOLUTIIONS LLC,Branch Company to Company,ACTIVE,07/01/2027,
BAKER'S GAS & WELDING SUPPLIES INC,,1299 W SHOOP AVE,,WAUSEON,OH,43567,(877)930-5690,50.26.0001,Fire Protection Organization - Branch Office,07/22/2011,07/01/2027,Active,ACTIVE,53.89.1649,BAKERS GAS & WELDING SUPPLIES INC,Branch Company to Company,ACTIVE,07/01/2027,
HONEYWELL INTERNATIONAL INC,,2100 APOLLO DR,,BROOK PARK,OH,44142-4103,(513) 745-7200,50.29.0001,Fire Protection Organization - Branch Office,05/28/2002,07/01/2027,Active,ACTIVE,53.18.1622,HONEYWELL INTERNATIONAL INC,Branch Company to Company,ACTIVE,07/01/2027,
ADT LLC,LICENSING DEPT,PO BOX 310702,,BOCA RATON,FL,33431-0702,(561) 988-3681,50.29.0003,Fire Protection Organization - Branch Office,03/15/2012,07/01/2027,Active,ACTIVE,53.89.1726,ADT LLC DBA PROTECTION ONE,Branch Company to Company,ACTIVE,07/01/2027,
SUMMIT FIRE & SECURITY LLC,,1250 NORTHLAND DR STE 200,,MENDOTA HEIGHTS,MN,55120-1174,,50.30.0001,Fire Protection Organization - Branch Office,12/12/2013,07/01/2027,Active,ACTIVE,53.18.5101,SUMMIT FIRE & SECURITY LLC,Branch Company to Company,ACTIVE,07/01/2027,
GUARDIAN PROTECTION SERVICES,,9852 WINDISCH RD,,WEST CHESTER,OH,45069-3806,(513)771-9400,50.31.0004,Fire Protection Organization - Branch Office,08/21/1998,07/01/2027,Active,ACTIVE,53.89.1300,GUARDIAN PROTECTION SERVICES INC,Branch Company to Company,ACTIVE,07/01/2027,
HONEYWELL INTERNATIONAL,,7901 INNOVATION WAY,,MASON,OH,45040-9498,(740) 572-3037,50.31.0009,Fire Protection Organization - Branch Office,06/18/2008,07/01/2027,Active,ACTIVE,53.18.1622,HONEYWELL INTERNATIONAL INC,Branch Company to Company,ACTIVE,07/01/2027,
ADT LLC,,2300 WALL ST STE H,,CINCINNATI,OH,45212-2794,(561) 988-3681,50.31.0014,Fire Protection Organization - Branch Office,03/15/2012,07/01/2027,Active,ACTIVE,53.89.1726,ADT LLC DBA PROTECTION ONE,Branch Company to Company,ACTIVE,07/01/2027,
JOHNSON CONTROLS FIRE PROTECTION LP,LICENSING DEPT,PO BOX 3042,,BOCA RATON,FL,33431-0942,,50.31.1020,Fire Protection Organization - Branch Office,06/24/1991,07/01/2027,Active,ACTIVE,53.25.1041,JOHNSON CONTROLS FIRE PROTECTION LP,Branch Company to Company,ACTIVE,07/01/2027,
VIKING AUTOMATIC SPRINKLER CO DBA VFP FIRE SYSTEMS,,8790 BECKETT RD,,WEST CHESTER,OH,45069-2904,(513)777-7510,50.31.1049,Fire Protection Organization - Branch Office,06/14/1991,07/01/2027,Active,ACTIVE,53.89.1121,VIKING AUTOMATIC SPRINKLER CO DBA VFP FIRE SYSTEMS,Branch Company to Company,ACTIVE,07/01/2027,
KOORSEN FIRE & SECURITY,,10608 MILLINGTON CT,,BLUE ASH,OH,45242-4015,(317) 225-5795,50.31.1057,Fire Protection Organization - Branch Office,05/01/2014,07/01/2027,Active,ACTIVE,,,,,,
SUMMIT FIRE & SECURITY LLC,,1250 NORTHLAND DR STE 200,,MENDOTA HEIGHTS,MN,55120-1174,,50.31.1059,Fire Protection Organization - Branch Office,10/30/2014,07/01/2027,Active,ACTIVE,53.18.5101,SUMMIT FIRE & SECURITY LLC,Branch Company to Company,ACTIVE,07/01/2027,
DEBRA-KUEMPEL INC DBA DYNAELECTRIC OHIO,,3976 SOUTHERN AVE,,CINCINNATI,OH,45227-3562,(513) 271-6500,50.31.1062,Fire Protection Organization - Branch Office,10/20/2023,07/01/2027,Active,ACTIVE,53.25.1490,DEBRA-KUEMPEL INC DBA DYNALECTRIC OHIO,Branch Company to Company,ACTIVE,07/01/2027,
RYAN FIREPROTECTION INC,,7225 EDINGTON DR,,CINCINNATI,OH,45249-1064,(513) 489-5454,50.31.1063,Fire Protection Organization - Branch Office,01/13/2026,07/01/2027,Active,ACTIVE,53.89.1257,RYAN FIREPROTECTION INC,Branch Company to Company,ACTIVE,07/01/2027,
CLINE FIRE LLC,,2215 N MAIN ST STE D,,FINDLAY,OH,45840-3901,(419) 571-4119,50.32.0003,Fire Protection Organization - Branch Office,04/16/2024,07/01/2027,Active,ACTIVE,53.70.1566,CLINE FIRE LLC,Branch Company to Company,ACTIVE,07/01/2027,
CERTASITE,,6509 ANGOLA RD,,HOLLAND,OH,43528-9651,(330) 673-3600,50.48.0005,Fire Protection Organization - Branch Office,06/05/2001,07/01/2027,Active,ACTIVE,53.77.2009,CERTASITE,Branch Company to Company,ACTIVE,07/01/2027,
SHAMBAUGH & SON LP,,PO BOX 1287,,FORT WAYNE,IN,46801-1287,(260) 487-7746,50.48.0007,Fire Protection Organization - Branch Office,11/18/2009,07/01/2027,Active,ACTIVE,53.89.1038,SHAMBAUGH & SON LP,Branch Company to Company,ACTIVE,07/01/2027,
ADT LLC - TOLEDO BRANCH,LICENSING DEPT,PO BOX 310702,,BOCA RATON,FL,33431-0702,,50.48.0008,Fire Protection Organization - Branch Office,03/15/2012,07/01/2027,Active,ACTIVE,53.89.1726,ADT LLC DBA PROTECTION ONE,Branch Company to Company,ACTIVE,07/01/2027,
SUMMIT FIRE & SECURITY LLC,,1250 NORTHLAND DR STE 200,,MENDOTA HEIGHTS,MN,55120-1174,(419) 882-1200,50.48.0009,Fire Protection Organization - Branch Office,06/14/2013,07/01/2027,Active,ACTIVE,53.18.5101,SUMMIT FIRE & SECURITY LLC,Branch Company to Company,ACTIVE,07/01/2027,
JOHNSON CONTROLS SECURITY SOLUTIONS LLC,LICENSING DEPT.,PO BOX 3042,,BOCA RATON,FL,33431-0942,,50.48.1032,Fire Protection Organization - Branch Office,06/05/1991,07/01/2027,Active,ACTIVE,53.31.1582,JOHNSON CONTROLS SECURITY SOLUTIONS LLC,Branch Company to Company,ACTIVE,07/01/2027,
KOORSEN FIRE AND SECURITY INC,,2719 N ARLINGTON AVE,,INDIANAPOLIS,IN,46218-3322,(317) 225-5763,50.48.1127,Fire Protection Organization - Branch Office,01/20/2016,07/01/2027,Active,ACTIVE,53.89.1036,KOORSEN FIRE & SECURITY,Branch Company to Company,ACTIVE,07/01/2027,
CHAPEL ROMANOFF TECHNOLOGIES,,5570 ENTERPRISE BLVC,,TOLEDO,OH,43612,(419) 726-2627,50.48.1129,Fire Protection Organization - Branch Office,08/06/2021,07/01/2027,Active,ACTIVE,53.57.1246,CHAPEL ROMANOFF TECHNOLOGIES LLC,Branch Company to Company,ACTIVE,07/01/2027,
FAIRCHILD COMMUNICATION SYSTEMS INC,,5333 SECOR RD STE 22,,TOLEDO,OH,43623-2420,(419) 473-3648,50.48.1130,Fire Protection Organization - Branch Office,05/13/2024,07/01/2027,Active,ACTIVE,53.89.1590,FAIRCHILD COMMUNICATION SYSTEMS INC,Branch Company to Company,ACTIVE,07/01/2027,
GA BUSINESS PURCHASER LLC DBA GUARDIAN ALARM,C T CORPORATION,140 GRAND ST STE 300,,WHITE PLAINS,NY,10601-4840,,50.48.1131,Fire Protection Organization - Branch Office,09/20/2024,07/01/2027,Active,ACTIVE,53.48.1002,GUARDIAN ALARM COMPANY,Branch Company to Company,ACTIVE,07/01/2027,
FYR FYTER SALES & SERVICE,,1981 TREMAINSVILLE RD,,TOLEDO,OH,43613-4037,(513) 733-5655,50.48.1132,Fire Protection Organization - Branch Office,08/04/2025,07/01/2027,Active,ACTIVE,53.31.1003,SILCO FIRE & SECURITY,Branch Company to Company,ACTIVE,07/01/2027,
S A COMUNALE CO INC,,25 N CANFIELD NILES RD STE 25,,YOUNGSTOWN,OH,44515-2308,(330) 797-7558,50.50.1065,Fire Protection Organization - Branch Office,03/05/2019,07/01/2027,Active,ACTIVE,53.77.1016,SA COMUNALE,Branch Company to Company,ACTIVE,07/01/2027,
VECTOR SECURITY INC,,4259 BOARDMAN CANFIELD RD STE 5,,CANFIELD,OH,44406-8064,(330) 726-9841,50.50.1066,Fire Protection Organization - Branch Office,12/30/2021,07/01/2027,Active,ACTIVE,53.50.1081,VECTOR SECURITY INC DBA VECTOR SECURITY NETWORKS,Branch Company to Company,ACTIVE,07/01/2027,
DAVIS ULMER SPRINKLER COMPANY INC DBA GRUNAU FIRE PROTECTION,,590 E WESTERN RESERVE RD BLDG 5,,YOUNGSTOWN,OH,44514-3395,(716) 691-3200,50.50.1067,Fire Protection Organization - Branch Office,07/27/2023,07/01/2027,Active,ACTIVE,53.89.2017,DAVIS ULMER SPRINKLER COMPANY INC,Branch Company to Company,ACTIVE,07/01/2027,
SILCO FIRE & SECURITY,BRANDY MAYNARD,420 CONGRESS PARK DR,,DAYTON,OH,45459-4125,(937)426-9717,50.57.1118,Fire Protection Organization - Branch Office,06/10/1991,07/01/2027,Active,ACTIVE,53.31.1003,SILCO FIRE & SECURITY,Branch Company to Company,ACTIVE,07/01/2027,
JOHNSON CONTROLS SECURITY SOLUTIONS LLC,,4742 PAYNE AVE,,DAYTON,OH,45414-4161,(513) 342-9111,50.57.1119,Fire Protection Organization - Branch Office,08/08/2014,07/01/2027,Active,ACTIVE,53.31.1582,JOHNSON CONTROLS SECURITY SOLUTIONS LLC,Branch Company to Company,ACTIVE,07/01/2027,
ESI INC,,6400 SAND LAKE RD,,DAYTON,OH,45414-2635,(937) 293-6138,50.57.1122,Fire Protection Organization - Branch Office,03/13/2020,07/01/2027,Active,ACTIVE,53.31.1039,ESI INC,Branch Company to Company,ACTIVE,07/01/2027,
DEBRA-KUEMPEL INC DBA DYNAELECTRIC OHIO,,131 JANNEY RD,,DAYTON,OH,45404-1225,(937) 531-5455,50.57.1124,Fire Protection Organization - Branch Office,10/20/2023,07/01/2027,Active,ACTIVE,53.25.1490,DEBRA-KUEMPEL INC DBA DYNALECTRIC OHIO,Branch Company to Company,ACTIVE,07/01/2027,
GEER GAS CORPORATION,,2545 NEEDMORE RD,,DAYTON,OH,45414,(937) 965-4006,50.57.1125,Fire Protection Organization - Branch Office,10/02/2023,07/01/2027,Active,ACTIVE,53.25.4048,GEER GAS CORPORATION,Branch Company to Company,ACTIVE,07/01/2027,
CERTASITE BRANCH OFFICE,,123 S KEOWEE ST,,DAYTON,OH,45402-2240,(937) 228-4188,50.57.1126,Fire Protection Organization - Branch Office,09/11/2024,07/01/2027,Active,ACTIVE,53.77.2009,CERTASITE,Branch Company to Company,ACTIVE,07/01/2027,
CERTASITE LLC,,4620 CRYSTAL PKWY,,KENT,OH,44240-8020,(574) 587-3662,50.67.0001,Fire Protection Organization - Branch Office,06/27/2023,07/01/2027,Active,ACTIVE,53.77.2009,CERTASITE,Branch Company to Company,ACTIVE,07/01/2027,
KOORSEN FIRE & SECRUITY,,100 SWARN PKWY,,MANSFIELD,OH,44903-6515,(419)526-2212,50.70.0002,Fire Protection Organization - Branch Office,09/29/2004,07/01/2027,Active,ACTIVE,53.89.1036,KOORSEN FIRE & SECURITY,Branch Company to Company,ACTIVE,07/01/2027,
VECTOR SECURITY INC,,186 STURGES AVE,,MANSFIELD,OH,44903,(419)526-1299,50.70.0004,Fire Protection Organization - Branch Office,10/05/2010,07/01/2027,Active,ACTIVE,53.50.1081,VECTOR SECURITY INC DBA VECTOR SECURITY NETWORKS,Branch Company to Company,ACTIVE,07/01/2027,
CLINE FIRE LLC,,67 ILLINOIS AVE S,,MANSFIELD,OH,44905-2824,(419) 571-4119,50.70.1009,Fire Protection Organization - Branch Office,08/26/2025,07/01/2027,Active,ACTIVE,53.70.1566,CLINE FIRE LLC,Branch Company to Company,ACTIVE,07/01/2027,
